"Organization Group Name","Location Group Path"
"CIS-Covidien","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Covidien"
"CIS-eBay","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-eBay"
"CIS-PublishingGRA","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-PublishingGRA"
"CIS-RocketSoftware","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-RocketSoftware"
"CIS-CME","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-CME"
"CIS-LeggMason","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-LeggMason"
"CIS-FederalMogul","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-FederalMogul"
"CIS-DrReddys","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-DrReddys"
"CIS-Stada","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-Stada"
"CIS-McDonalds","Global / AirWatch Clients / India / Genpact / IBEX / NewCISPolicy / CIS-McDonalds"
